Date,Province,New_Cases,Total_Cases,Growth_Factor_of_New_Cases,New_Deaths,Total_Deaths,Growth_Factor_of_New_Deaths,New_Recovered,Total_Recovered,New_Active_Cases,Total_Active_Cases,Vaccinated,Vaccinated_Cumulative,Fully_Vaccinated,Fully_Vaccinated_Cumulative
2020-03-26,Aceh,1,1,,0,0,,0,1,1,0,,,,
2020-03-27,Aceh,3,4,3,0,0,1,0,1,3,3,,,,
2020-03-28,Aceh,1,5,0.33,0,0,1,0,1,1,4,,,,
2020-03-29,Aceh,0,5,0,0,0,1,0,1,0,4,,,,
2020-03-30,Aceh,0,5,1,0,0,1,0,1,0,4,,,,
2020-03-31,Aceh,0,5,1,0,0,1,0,1,0,4,,,,
2020-04-01,Aceh,0,5,1,0,0,1,0,1,0,4,,,,
2020-04-02,Aceh,0,5,1,0,0,1,0,1,0,4,,,,
2020-04-03,Aceh,0,5,1,0,0,1,0,1,0,4,,,,
2020-04-04,Aceh,0,5,1,0,0,1,0,1,0,4,,,,
2020-04-05,Aceh,0,5,1,0,0,1,0,1,0,4,,,,
2020-04-06,Aceh,0,5,1,0,0,1,0,1,0,4,,,,
2020-04-07,Aceh,0,5,1,0,0,1,0,1,0,4,,,,
2020-04-08,Aceh,0,5,1,0,0,1,0,1,0,4,,,,
2020-04-09,Aceh,0,5,1,0,0,1,1,2,-1,3,,,,
2020-04-10,Aceh,0,5,1,0,0,1,0,2,0,3,,,,
2020-04-11,Aceh,0,5,1,0,0,1,0,2,0,3,,,,
2020-04-12,Aceh,0,5,1,0,0,1,0,2,0,3,,,,
2020-04-13,Aceh,0,5,1,0,0,1,2,4,-2,1,,,,
2020-04-14,Aceh,0,5,1,0,0,1,0,4,0,1,,,,
2020-04-15,Aceh,0,5,1,0,0,1,0,4,0,1,,,,
2020-04-16,Aceh,0,5,1,0,0,1,0,4,0,1,,,,
2020-04-17,Aceh,0,5,1,0,0,1,0,4,0,1,,,,
2020-04-18,Aceh,1,6,,0,0,1,0,4,1,2,,,,
2020-04-19,Aceh,1,7,1,0,0,1,0,4,1,3,,,,
2020-04-20,Aceh,0,7,0,0,0,1,0,4,0,3,,,,
2020-04-21,Aceh,0,7,1,0,0,1,0,4,0,3,,,,
2020-04-22,Aceh,0,7,1,0,0,1,0,4,0,3,,,,
2020-04-23,Aceh,0,7,1,1,1,,0,4,-1,2,,,,
2020-04-24,Aceh,1,8,,0,1,0,0,4,1,3,,,,
2020-04-25,Aceh,1,9,1,0,1,1,0,4,1,4,,,,
2020-04-26,Aceh,0,9,0,0,1,1,0,4,0,4,,,,
2020-04-27,Aceh,0,9,1,0,1,1,1,5,-1,3,,,,
2020-04-28,Aceh,0,9,1,0,1,1,1,6,-1,2,,,,
2020-04-29,Aceh,0,9,1,0,1,1,1,7,-1,1,,,,
2020-04-30,Aceh,1,10,,0,1,1,0,7,1,2,,,,
2020-05-01,Aceh,1,11,1,0,1,1,0,7,1,3,,,,
2020-05-02,Aceh,0,11,0,0,1,1,0,7,0,3,,,,
