Batch;Filter Kategori;Prov;Provinsi;tanggal terakhir;Tanggal;Divaksin 3
LANSIA;LANSIA;Jambi;Jambi;True;02/11/2022 00.00.00;1
LANSIA;LANSIA;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;5
LANSIA;LANSIA;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;4
LANSIA;LANSIA;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;3
LANSIA;LANSIA;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;1
LANSIA;LANSIA;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;30
LANSIA;LANSIA;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;4
LANSIA;LANSIA;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;72
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;15
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;7
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;4
LANSIA;LANSIA;Kalimantan Selatan;Kalimantan Selatan;True;02/11/2022 00.00.00;3
LANSIA;LANSIA;Kalimantan Selatan;Kalimantan Selatan;True;02/11/2022 00.00.00;4
LANSIA;LANSIA;Bangka Belitung;Kepulauan Bangka Belitung;True;02/11/2022 00.00.00;8
LANSIA;LANSIA;Lampung;Lampung;True;02/11/2022 00.00.00;1
LANSIA;LANSIA;Maluku;Maluku;True;02/11/2022 00.00.00;1
LANSIA;LANSIA;Papua;Papua;True;02/11/2022 00.00.00;4
LANSIA;LANSIA;Riau;Riau;True;02/11/2022 00.00.00;3
LANSIA;LANSIA;Riau;Riau;True;02/11/2022 00.00.00;2
LANSIA;LANSIA;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;0
LANSIA;LANSIA;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;0
LANSIA;LANSIA;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;0
LANSIA;LANSIA;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;0
LANSIA;LANSIA;Sumatera Selatan;Sumatera Selatan;True;02/11/2022 00.00.00;2
LANSIA;LANSIA;Sumatera Selatan;Sumatera Selatan;True;02/11/2022 00.00.00;6
LANSIA;LANSIA;Sumatera Utara;Sumatera Utara;True;02/11/2022 00.00.00;10
LANSIA;LANSIA;Sumatera Utara;Sumatera Utara;True;02/11/2022 00.00.00;2
LANSIA;LANSIA;Banten;Banten;True;02/11/2022 00.00.00;0
LANSIA;LANSIA;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;6
LANSIA;LANSIA;Kalimantan Utara;Kalimantan Utara;True;02/11/2022 00.00.00;0
LANSIA;LANSIA;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;4
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;9
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Selatan;Kalimantan Selatan;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Timur;Kalimantan Timur;True;02/11/2022 00.00.00;5
PETUGAS PUBLIK;PETUGAS PUBLIK;Maluku;Maluku;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Nusa Tenggara Barat;Nusa Tenggara Barat;True;02/11/2022 00.00.00;1
