Tanggal;Prov;Provinsi;Running Sum of divaksin2 (ribu);divaksin2 (ribu)
13/01/2021 00.00.00;Yogyakarta;Yogyakarta;0;0
14/01/2021 00.00.00;Yogyakarta;Yogyakarta;0;0
15/01/2021 00.00.00;Yogyakarta;Yogyakarta;0;0
16/01/2021 00.00.00;Yogyakarta;Yogyakarta;0;0
18/01/2021 00.00.00;Yogyakarta;Yogyakarta;0;0
19/01/2021 00.00.00;Yogyakarta;Yogyakarta;0,001;0,001
20/01/2021 00.00.00;Yogyakarta;Yogyakarta;0,001;0
21/01/2021 00.00.00;Yogyakarta;Yogyakarta;0,001;0
22/01/2021 00.00.00;Yogyakarta;Yogyakarta;0,001;0
23/01/2021 00.00.00;Yogyakarta;Yogyakarta;0,001;0
24/01/2021 00.00.00;Yogyakarta;Yogyakarta;0,001;0
25/01/2021 00.00.00;Yogyakarta;Yogyakarta;0,001;0
26/01/2021 00.00.00;Yogyakarta;Yogyakarta;0,002;0,001
27/01/2021 00.00.00;Yogyakarta;Yogyakarta;0,002;0
28/01/2021 00.00.00;Yogyakarta;Yogyakarta;0,714;0,712
29/01/2021 00.00.00;Yogyakarta;Yogyakarta;1,01;0,296
30/01/2021 00.00.00;Yogyakarta;Yogyakarta;1,307;0,297
31/01/2021 00.00.00;Yogyakarta;Yogyakarta;1,307;0
01/02/2021 00.00.00;Yogyakarta;Yogyakarta;2,876;1,569
02/02/2021 00.00.00;Yogyakarta;Yogyakarta;4,257;1,381
03/02/2021 00.00.00;Yogyakarta;Yogyakarta;5,473;1,216
04/02/2021 00.00.00;Yogyakarta;Yogyakarta;6,672;1,199
05/02/2021 00.00.00;Yogyakarta;Yogyakarta;7,192;0,52
06/02/2021 00.00.00;Yogyakarta;Yogyakarta;7,803;0,611
07/02/2021 00.00.00;Yogyakarta;Yogyakarta;7,983;0,18
08/02/2021 00.00.00;Yogyakarta;Yogyakarta;9,362;1,379
09/02/2021 00.00.00;Yogyakarta;Yogyakarta;10,715;1,353
10/02/2021 00.00.00;Yogyakarta;Yogyakarta;12,362;1,647
11/02/2021 00.00.00;Yogyakarta;Yogyakarta;16,071;3,709
12/02/2021 00.00.00;Yogyakarta;Yogyakarta;16,091;0,02
13/02/2021 00.00.00;Yogyakarta;Yogyakarta;16,898;0,807
14/02/2021 00.00.00;Yogyakarta;Yogyakarta;16,9;0,002
15/02/2021 00.00.00;Yogyakarta;Yogyakarta;18,901;2,001
16/02/2021 00.00.00;Yogyakarta;Yogyakarta;21,598;2,697
17/02/2021 00.00.00;Yogyakarta;Yogyakarta;23,924;2,326
18/02/2021 00.00.00;Yogyakarta;Yogyakarta;26,128;2,204
19/02/2021 00.00.00;Yogyakarta;Yogyakarta;27,447;1,319
20/02/2021 00.00.00;Yogyakarta;Yogyakarta;28,51;1,063
21/02/2021 00.00.00;Yogyakarta;Yogyakarta;28,538;0,028
22/02/2021 00.00.00;Yogyakarta;Yogyakarta;29,397;0,859
23/02/2021 00.00.00;Yogyakarta;Yogyakarta;29,872;0,475
24/02/2021 00.00.00;Yogyakarta;Yogyakarta;30,298;0,426
25/02/2021 00.00.00;Yogyakarta;Yogyakarta;31;0,702
26/02/2021 00.00.00;Yogyakarta;Yogyakarta;31,048;0,048
27/02/2021 00.00.00;Yogyakarta;Yogyakarta;31,487;0,439
28/02/2021 00.00.00;Yogyakarta;Yogyakarta;31,496;0,009
01/03/2021 00.00.00;Yogyakarta;Yogyakarta;31,667;0,171
02/03/2021 00.00.00;Yogyakarta;Yogyakarta;31,871;0,204
03/03/2021 00.00.00;Yogyakarta;Yogyakarta;32,062;0,191
04/03/2021 00.00.00;Yogyakarta;Yogyakarta;32,348;0,286
05/03/2021 00.00.00;Yogyakarta;Yogyakarta;32,503;0,155
06/03/2021 00.00.00;Yogyakarta;Yogyakarta;33,236;0,733
07/03/2021 00.00.00;Yogyakarta;Yogyakarta;33,243;0,007
08/03/2021 00.00.00;Yogyakarta;Yogyakarta;33,716;0,473
09/03/2021 00.00.00;Yogyakarta;Yogyakarta;34,085;0,369
10/03/2021 00.00.00;Yogyakarta;Yogyakarta;34,279;0,194
11/03/2021 00.00.00;Yogyakarta;Yogyakarta;34,283;0,004
12/03/2021 00.00.00;Yogyakarta;Yogyakarta;34,471;0,188
13/03/2021 00.00.00;Yogyakarta;Yogyakarta;34,754;0,283
14/03/2021 00.00.00;Yogyakarta;Yogyakarta;34,758;0,004
15/03/2021 00.00.00;Yogyakarta;Yogyakarta;37,096;2,338
16/03/2021 00.00.00;Yogyakarta;Yogyakarta;40,523;3,427
17/03/2021 00.00.00;Yogyakarta;Yogyakarta;45,731;5,208
18/03/2021 00.00.00;Yogyakarta;Yogyakarta;53,358;7,627
19/03/2021 00.00.00;Yogyakarta;Yogyakarta;58,626;5,268
20/03/2021 00.00.00;Yogyakarta;Yogyakarta;63,938;5,312
21/03/2021 00.00.00;Yogyakarta;Yogyakarta;64,069;0,131
22/03/2021 00.00.00;Yogyakarta;Yogyakarta;68,126;4,057
23/03/2021 00.00.00;Yogyakarta;Yogyakarta;74,135;6,009
24/03/2021 00.00.00;Yogyakarta;Yogyakarta;81,553;7,418
25/03/2021 00.00.00;Yogyakarta;Yogyakarta;83,163;1,61
26/03/2021 00.00.00;Yogyakarta;Yogyakarta;86,107;2,944
27/03/2021 00.00.00;Yogyakarta;Yogyakarta;89,819;3,712
28/03/2021 00.00.00;Yogyakarta;Yogyakarta;89,965;0,146
29/03/2021 00.00.00;Yogyakarta;Yogyakarta;95,441;5,476
30/03/2021 00.00.00;Yogyakarta;Yogyakarta;102,087;6,646
31/03/2021 00.00.00;Yogyakarta;Yogyakarta;107,474;5,387
