Tanggal;Provinsi;Running Sum of divaksin1 (ribu);divaksin1 (ribu)
13/01/2021 00.00.00;Yogyakarta;0;0
14/01/2021 00.00.00;Yogyakarta;0,873;0,873
15/01/2021 00.00.00;Yogyakarta;1,166;0,293
16/01/2021 00.00.00;Yogyakarta;1,479;0,313
18/01/2021 00.00.00;Yogyakarta;3,362;1,883
19/01/2021 00.00.00;Yogyakarta;4,825;1,463
20/01/2021 00.00.00;Yogyakarta;6,125;1,3
21/01/2021 00.00.00;Yogyakarta;7,299;1,174
22/01/2021 00.00.00;Yogyakarta;7,843;0,544
23/01/2021 00.00.00;Yogyakarta;8,456;0,613
24/01/2021 00.00.00;Yogyakarta;8,667;0,211
25/01/2021 00.00.00;Yogyakarta;10,089;1,422
26/01/2021 00.00.00;Yogyakarta;11,532;1,443
27/01/2021 00.00.00;Yogyakarta;13,328;1,796
28/01/2021 00.00.00;Yogyakarta;17,197;3,869
29/01/2021 00.00.00;Yogyakarta;18,197;1
30/01/2021 00.00.00;Yogyakarta;18,858;0,661
31/01/2021 00.00.00;Yogyakarta;18,91;0,052
01/02/2021 00.00.00;Yogyakarta;21,005;2,095
02/02/2021 00.00.00;Yogyakarta;23,571;2,566
03/02/2021 00.00.00;Yogyakarta;25,993;2,422
04/02/2021 00.00.00;Yogyakarta;28,051;2,058
05/02/2021 00.00.00;Yogyakarta;29,389;1,338
06/02/2021 00.00.00;Yogyakarta;30,523;1,134
07/02/2021 00.00.00;Yogyakarta;30,563;0,04
08/02/2021 00.00.00;Yogyakarta;31,182;0,619
09/02/2021 00.00.00;Yogyakarta;31,606;0,424
10/02/2021 00.00.00;Yogyakarta;32,031;0,425
11/02/2021 00.00.00;Yogyakarta;32,683;0,652
12/02/2021 00.00.00;Yogyakarta;32,684;0,001
13/02/2021 00.00.00;Yogyakarta;33,17;0,486
14/02/2021 00.00.00;Yogyakarta;33,174;0,004
15/02/2021 00.00.00;Yogyakarta;33,402;0,228
16/02/2021 00.00.00;Yogyakarta;33,631;0,229
17/02/2021 00.00.00;Yogyakarta;33,807;0,176
18/02/2021 00.00.00;Yogyakarta;34,075;0,268
19/02/2021 00.00.00;Yogyakarta;34,221;0,146
20/02/2021 00.00.00;Yogyakarta;35,184;0,963
21/02/2021 00.00.00;Yogyakarta;35,184;0
22/02/2021 00.00.00;Yogyakarta;35,631;0,447
23/02/2021 00.00.00;Yogyakarta;35,841;0,21
24/02/2021 00.00.00;Yogyakarta;35,977;0,136
25/02/2021 00.00.00;Yogyakarta;36,114;0,137
26/02/2021 00.00.00;Yogyakarta;36,195;0,081
27/02/2021 00.00.00;Yogyakarta;36,487;0,292
28/02/2021 00.00.00;Yogyakarta;36,718;0,231
01/03/2021 00.00.00;Yogyakarta;39,3;2,582
02/03/2021 00.00.00;Yogyakarta;43,486;4,186
03/03/2021 00.00.00;Yogyakarta;49,91;6,424
04/03/2021 00.00.00;Yogyakarta;59,223;9,313
05/03/2021 00.00.00;Yogyakarta;65,752;6,529
06/03/2021 00.00.00;Yogyakarta;71,553;5,801
07/03/2021 00.00.00;Yogyakarta;71,729;0,176
08/03/2021 00.00.00;Yogyakarta;76,475;4,746
09/03/2021 00.00.00;Yogyakarta;84,122;7,647
10/03/2021 00.00.00;Yogyakarta;93,504;9,382000000
11/03/2021 00.00.00;Yogyakarta;93,667;0,163
12/03/2021 00.00.00;Yogyakarta;97,681;4,014
13/03/2021 00.00.00;Yogyakarta;102,241;4,56
14/03/2021 00.00.00;Yogyakarta;102,456;0,215
15/03/2021 00.00.00;Yogyakarta;110,206;7,75
16/03/2021 00.00.00;Yogyakarta;119,926;9,72
17/03/2021 00.00.00;Yogyakarta;128,47;8,544
18/03/2021 00.00.00;Yogyakarta;138,175;9,705
19/03/2021 00.00.00;Yogyakarta;143,72;5,545
20/03/2021 00.00.00;Yogyakarta;147,607;3,887
21/03/2021 00.00.00;Yogyakarta;148,969;1,362
22/03/2021 00.00.00;Yogyakarta;155,956;6,987
23/03/2021 00.00.00;Yogyakarta;163,402;7,446
24/03/2021 00.00.00;Yogyakarta;170,762;7,36
25/03/2021 00.00.00;Yogyakarta;181,005;10,243
26/03/2021 00.00.00;Yogyakarta;188,605;7,6
27/03/2021 00.00.00;Yogyakarta;198,471;9,866
28/03/2021 00.00.00;Yogyakarta;201,574;3,103
29/03/2021 00.00.00;Yogyakarta;210,232;8,658
30/03/2021 00.00.00;Yogyakarta;220,429;10,197
31/03/2021 00.00.00;Yogyakarta;226,88;6,451
01/04/2021 00.00.00;Yogyakarta;234,586;7,706
02/04/2021 00.00.00;Yogyakarta;235,31;0,724
03/04/2021 00.00.00;Yogyakarta;236,836;1,526
04/04/2021 00.00.00;Yogyakarta;236,836;0
05/04/2021 00.00.00;Yogyakarta;241,808;4,972
06/04/2021 00.00.00;Yogyakarta;250,842;9,034
07/04/2021 00.00.00;Yogyakarta;260,363;9,521
08/04/2021 00.00.00;Yogyakarta;270,267;9,904
09/04/2021 00.00.00;Yogyakarta;276,918;6,651
10/04/2021 00.00.00;Yogyakarta;280,147;3,229
11/04/2021 00.00.00;Yogyakarta;280,16;0,013
12/04/2021 00.00.00;Yogyakarta;285,894;5,734
13/04/2021 00.00.00;Yogyakarta;288,699;2,805
14/04/2021 00.00.00;Yogyakarta;291,127;2,428
15/04/2021 00.00.00;Yogyakarta;295,287;4,16
16/04/2021 00.00.00;Yogyakarta;296,673;1,386
17/04/2021 00.00.00;Yogyakarta;299,448;2,775
18/04/2021 00.00.00;Yogyakarta;299,471;0,023
19/04/2021 00.00.00;Yogyakarta;303,161;3,69
20/04/2021 00.00.00;Yogyakarta;311,136;7,975
21/04/2021 00.00.00;Yogyakarta;318,754;7,618
22/04/2021 00.00.00;Yogyakarta;328,217;9,463
23/04/2021 00.00.00;Yogyakarta;332,036;3,819
24/04/2021 00.00.00;Yogyakarta;336,998;4,962
25/04/2021 00.00.00;Yogyakarta;337,023;0,025
26/04/2021 00.00.00;Yogyakarta;342,456;5,433
27/04/2021 00.00.00;Yogyakarta;348,383;5,927
28/04/2021 00.00.00;Yogyakarta;353,586;5,203
